,Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you willing to participate in the survey?,"We will ask you to create a unique identifier so the survey analysis team can identify repeated responses across years. Please respond with the first letter of your birth city, the third letter of your birth month, and the last two digits of your phone number. Example: someone born in Seattle, in March, phone (202) 123-4567 would answer SR67",Please indicate your gender (optional),Did you support a USAID biodiversity program in the past year?,What stage(s) in the Program Cycle were you supporting? (select all that apply),What best describes your role in the USAID biodiversity program you supported most recently? (choose one),Please indicate the USAID operating unit you were associated with when serving in this role.,I believe the use of adaptive management improves biodiversity program outcomes.,I believe adaptive management is difficult.,I am confident in my ability to apply adaptive management to my work.,Please provide some context to your previous response.(I am confident in my ability to apply adaptive management to my work.),I believe I can overcome barriers to implementing adaptive management.,Please provide some context to your previous response.(I believe I can overcome barriers to implementing adaptive management.),I am confident in my ability to support the use of adaptive management through my work.,Please provide some context to your previous response.(I am confident in my ability to support the use of adaptive management through my work.),I believe I can overcome barriers affecting my support to biodiversity teams implementing adaptive management.,Please provide some context to your previous response.(I believe I can overcome barriers affecting my support to biodiversity teams implementing adaptive management.),I believe the operating unit is committed to operationalizing adaptive management across its biodiversity programs.,"I believe the operating unit’s environment team generally has access to adequate time, financial, and human resources to adaptively manage biodiversity programs.",I believe most biodiversity programs are designed and implemented using adaptive management.,"I believe most teams managing biodiversity programs have the knowledge, skills, and abilities they need to implement strategies for generating and applying evidence to strengthen program design and implementation.","I believe most teams managing biodiversity programs have adequate resources (time, budget, staff, and access to technical assistance) to implement strategies for generating and applying evidence to strengthen program designs and implementation.",A situation model is a diagram that displays the findings from a context/problem analysis to convey the most important threats and drivers affecting selected biodiversity focal interests. Most biodiversity teams develop and use situation models to guide the design of their programs.,How important is it for biodiversity program teams to develop and use situation models to guide the design of their programs?,Results chains and other types of logic models are used to represent the outcomes needed to achieve the theory of change for a USAID strategy or program. Most biodiversity program teams use results chains or other logic models to describe their theory of change and how their interventions work.,How important is it for biodiversity program teams engaged in the design and implementation of biodiversity programs to develop results chains or other logic models to describe their theory of change and how their interventions work?,Performance monitoring reveals if desired results are occurring and if implementation is on track.Most biodiversity program teams consider monitoring data when making decisions about adapting implementation of their programs.,How important is it for biodiversity program teams to consider monitoring data when making decisions about adapting implementation of their programs?,Evaluation is the systematic collection and analysis of information about the characteristics and outcomes of programs.Most biodiversity program teams review and apply evaluation findings to the design and implementation of their programs.,How important is it for program teams to review and apply evaluation findings to the design and implementation of biodiversity programs?,How familiar are you with the Office of Forestry and Biodiversity’s Measuring Impact (MI) and/or Measuring Impact II (MI2) activities?,Have you or your team received support from Measuring Impact (MI) and/or Measuring Impact II (MI2)?,Which statement best describes your role on the team receiving support from Measuring Impact (MI) and/or Measuring Impact II (MI2)? Please answer for your most recent engagement with MI or MI2.,During which stage in the Program Cycle did you or your team engage with MI/MI2?,Consider your most recent experience receiving Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance for a C/RDCS. To what extent did MI/MI2 technical assistance affect the quality of the C/RDCS produced by your team?,Consider your most recent experience receiving Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance for a project design. To what extent did MI/MI2 technical assistance affect the quality of the Project Appraisal Document or PAD produced by your team?,Consider your most recent experience receiving Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance for an activity design and/or procurement.To what extent did MI/MI2 technical assistance affect the quality of the activity design and/or procurement documents produced by your team?,Consider your most recent experience receiving Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance for an activity start up. To what extent did MI/MI2 technical assistance affect the quality of the first-year work plan or MEL plan produced by the implementing partner.,Consider your most recent experience receiving Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance (e.g. Pause and Reflect) for an implemented activity.To what extent did MI/MI2 technical assistance affect the actions undertaken during implementation of the activity?,Consider your most recent experience with Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance for an evaluation. To what extent did MI/MI2 technical assistance affect the relevance and utility of the evaluation findings?,Consider the Measuring Impact (MI) or Measuring Impact II (MI2) technical assistance you described in the previous question.To what extent did MI/MI2 technical assistance affect the quality of processes or outputs in the area of support?,I believe of MI/MI2 recommended practices strengthen adaptive management of biodiversity and integrated projects and/or activities.,I believe the technical assistance I received from MI/MI2 increased my ability to effectively do my work.,I believe most USAID Missions are committed to operationalizing adaptive management across their biodiversity programs.,"I believe most environment teams have access to adequate time, financial, and human resources to adaptively manage biodiversity programs.",I believe most USAID biodiversity programs are designed and implemented using adaptive management.,"I believe most teams engaged in the design and implementation of biodiversity programs have adequate resources (such as time, budget, staff, and access to technical assistance) to implement strategies for generating and applying evidence to strengthen program designs and implementation.",How important is it for program teams to develop and use situation models to guide the design of biodiversity programs?,Performance monitoring reveals whether desired results are occurring and whether implementation is on track.Most biodiversity program teams consider monitoring data when making decisions about adapting  implementation of their programs.
0,12477972045,263393441,2021-03-09 22:21:38,2021-03-09 23:31:00,163.116.193.114,,,,,Yes,JN22,Female,Yes,"Activity design and/or procurement, Activity implementation","I engaged with biodiversity programming through facilitating strategic planning, procurement, and/or M&E and reporting (Program Officer)","Mission (please specify), Indonesia",Agree,Neither agree nor disagree,,,,,Agree,,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Important,Agree,Very important,Agree,Very important,Agree,Very important,Not at all familiar,,,,,,,,,,,,,,,,,,
1,12477891999,263393441,2021-03-09 22:20:17,2021-03-09 22:30:11,163.116.193.117,,,,,Yes,JL58,Male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Indonesia",Strongly Agree,Agree,Agree,,Agree,,,,,,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Very important,Agree,Very important,Agree,Very important,Agree,Important,Somewhat familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Evaluation,,,,,,MI/MI2 support had a large positive effect on the relevance and utility of the evaluation findings,,Agree,Agree,,,,,,
2,12477891089,263393441,2021-03-09 22:19:45,2021-03-09 23:09:10,163.116.193.117,,,,,Yes,HG31,,Yes,Activity design and/or procurement,"I engaged with biodiversity programming through facilitating strategic planning, procurement, and/or M&E and reporting (Program Officer)","Mission (please specify), USAID/Indonesia",Agree,Strongly Agree,,,,,Neither agree nor disagree,,Agree,,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Important,Neither agree nor disagree,I don’t know,Agree,Very important,Agree,Important,Not at all familiar,,,,,,,,,,,,,,,,,,
3,12477471535,263393441,2021-03-09 19:03:06,2021-03-09 21:11:28,101.128.127.169,,,,,Yes,Bl09,male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Indonesia",Strongly Agree,Agree,Agree,,Agree,,,,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very important,Strongly Agree,Important,Strongly Agree,Very important,Strongly Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),"Other (please specify), Multiple:  activity design, start up, and implementation",,,,,,,MI/MI2 support had a moderate positive effect on the quality of  processes or outputs in the area of support,Strongly agree,Agree,,,,,,
4,12477102564,263393441,2021-03-09 16:47:52,2021-03-09 17:02:34,72.234.176.36,,,,,Yes,LL23,male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Evaluation",I advised and/or provided technical assistance to those managing biodiversity programs or programming biodiversity funds (Biodiversity Advisor),"Mission (please specify), Indonesia",Agree,Disagree,,,,,Agree,,Agree,"My main barrier is time constraints - as such I have to practice good time management to meaningfully weigh in on biodiversity strategies, designs, procurements, projects documents, and evaluations.  ",Agree,Agree,Agree,Agree,Agree,Agree,Very important,Agree,Very important,Agree,Very important,Agree,Very important,Somewhat familiar,Yes,"Other (please specify), I supervised a team responsible for managing a biodiversity program.",Strategy (CDCS),MI/MI2 support had little effect on the quality of the C/RDCS produced by the team,,,,,,,Agree,Agree,,,,,,
5,12475822769,263393441,2021-03-09 10:11:47,2021-03-09 10:43:47,163.116.162.122,,,,,Yes,MY88,Male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Mozambique",Strongly disagree,Disagree,Agree,COVID19 pandemic impacts had obliged us to change the programming and adapt to this situation in implementing our activities,Agree,,,,,,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Important,Agree,Important,Agree,Important,Agree,Important,Somewhat familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Project design (PAD),,MI/MI2 support had a large positive effect on the quality of the PAD produced by the team,,,,,,Strongly disagree,Neither agree nor disagree,,,,,,
6,12474931760,263393441,2021-03-09 04:43:12,2021-03-09 04:47:11,23.83.131.209,,,,,Yes,DV68,,Yes,"Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Liberia",Agree,Neither agree nor disagree,Agree,,Neither agree nor disagree,,,,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly important,Neither agree nor disagree,Moderately important,,,,,,,,,,,,,,,,,,,,,,,
7,12474693139,263393441,2021-03-09 02:10:31,2021-03-09 03:36:57,163.116.162.115,,,,,Yes,BP55,,Yes,"Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Malawi",Agree,Disagree,Neither agree nor disagree,Because I have missed a couple of opportunities that I could have learned more about applying adaptative management to my work because of other competing priorities.  ,Agree,,,,,,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly Agree,Very important,Strongly Agree,Very important,Agree,Very important,Agree,Very important,Somewhat familiar,Yes,"Other (please specify), I was part of an activity design team.",Activity design and/or procurement,,,MI/MI2 support had a large positive effect on the quality of the activity design and/or procurement documents produced by the team,,,,,Agree,Agree,,,,,,
8,12474653021,263393441,2021-03-09 01:40:28,2021-03-09 01:49:54,163.116.162.113,,,,,Yes,LB44,Male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Malawi",Strongly Agree,Disagree,Neither agree nor disagree,AM is usually contextual,Agree,Due to collaboration with other stakeholders,,,,,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Very important,Agree,Very important,Agree,Very important,Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Activity design and/or procurement,,,MI/MI2 support had a large positive effect on the quality of the activity design and/or procurement documents produced by the team,,,,,Agree,Agree,,,,,,
9,12474304220,263393441,2021-03-08 21:26:25,2021-03-08 21:26:41,41.223.116.254,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12474303777,263393441,2021-03-08 21:20:20,2021-03-08 22:29:05,163.116.193.120,,,,,Yes,QB26,M,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Philippines",Agree,Neither agree nor disagree,Agree,"Receiving a bit of training on the subject, learning from others' experiences, noting changes in context and assumptions, conducting annual pause-and-reflect and occasional stocktaking sessions, and starting to build in flexibility in awards all help to build some confidence.",Neither agree nor disagree,Maybe?,,,,,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Very important,Agree,Very important,Agree,Very important,Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),"Other (please specify), A combination of start-up and implementation (and in one case, even evaluation)",,,,,,,MI/MI2 support had a large positive effect on the quality of processes or outputs in the area of support,Agree,Agree,,,,,,
11,12473594895,263393441,2021-03-08 16:20:52,2021-03-08 16:36:02,163.116.162.113,,,,,Yes,DR32,Female,Yes,Activity implementation,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), Senegal",Strongly Agree,Neither agree nor disagree,Agree,"I believe I need to continuously build my ability to unveil change, recognize new information or seek to identify them in order to become more confident in my ability to apply adaptive management.",Agree,It's also about knowing how to harness change and make strategic adjustments.,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Very important,Strongly Agree,Very important,Strongly Agree,Very important,Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Activity design and/or procurement,,,MI/MI2 support had a large positive effect on the quality of the activity design and/or procurement documents produced by the team,,,,,Strongly agree,Strongly agree,,,,,,
12,12465069181,263393441,2021-03-05 03:33:27,2021-03-05 04:01:57,163.116.146.116,,,,,Yes,JN44,MALE,Yes,"Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation, i MANAGE BIODIVERSITY PROGRAM",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), JUBA",Strongly disagree,Strongly disagree,Agree,"Given my contextual experience characterized by conflict, natural resources plundering - it is appropriate to apply adapted management so that planning can be based on the changing conditions on the ground.     ",Agree,Discussing the new ideas with the beneficiaries including local authorities. Telling the beneficiaries the need for adaptive management and the results to be achieved.   ,,,,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Very important,Agree,Very important,Agree,Very important,Strongly Agree,Very important,Somewhat familiar,No,,,,,,,,,,,,,,,,,
13,12465033183,263393441,2021-03-05 03:10:47,2021-03-05 03:11:13,163.116.162.139,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12464871079,263393441,2021-03-05 01:13:41,2021-03-05 01:17:27,27.34.20.144,,,,,Yes,pr58,,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity implementation, Evaluation","I engaged with biodiversity programming through facilitating strategic planning, procurement, and/or M&E and reporting (Program Officer)","Mission (please specify), Nepal",Strongly Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12464822757,263393441,2021-03-05 00:24:58,2021-03-05 00:56:15,41.139.146.95,,,,,Yes,KM12,Male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Activity start up, Activity implementation, Evaluation",I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner and/or A/COR),"Mission (please specify), USAID/Kenya and East Africa",Strongly Agree,Agree,Agree,We use evaluation findings and other assessments to make adjustments to activities. I'm currently leading a youth inclusion agenda where we have carried out an assessment to determine youth involvement in community conservancies and now planning on how to incorporate recommendations in the existing activities and future designs.  ,Agree,Some colleagues and implementing partners find it difficult to make adjustments. ,,,,,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Very important,Neither agree nor disagree,Very important,Agree,Very important,Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Strategy (CDCS),MI/MI2 support had a moderate positive effect on the quality of the C/RDCS produced by the team,,,,,,,Agree,Agree,,,,,,
16,12464773457,263393441,2021-03-05 00:03:28,2021-03-05 01:13:46,163.116.205.115,,,,,Yes,DO69,Male,Yes,Activity monitoring,"I engaged with biodiversity programming through facilitating strategic planning, procurement, and/or M&E and reporting (Program Officer)","Mission (please specify), Nepal",Strongly Agree,Strongly Agree,,,,,Agree,It depends on the context of the operating environment; as well in which stage of the program cycle you involve in or support teams.,Agree,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Very important,Agree,Very important,Neither agree nor disagree,Very important,Agree,Very important,Somewhat familiar,No,,,,,,,,,,,,,,,,,
17,12464731088,263393441,2021-03-04 23:37:31,2021-03-04 23:49:16,27.34.20.251,,,,,Yes,BR75,,Yes,"Activity design and/or procurement, Activity implementation",I worked in a different sector at USAID and supported one or more programs that included cross-sectoral integration with biodiversity (Partner in Integration),"Mission (please specify), Nepal",Strongly disagree,Agree,,,Agree,"With adequate planning, engagement, and expert support, the barriers can be overcome.",Agree,"It requires skills in planning, participation, engagement, and analysis, and of course time, which are all part of our work, and hence we can do it.",,,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Important,Neither agree nor disagree,Important,Agree,Very important,Agree,Very important,Very familiar,Yes,I was part of a team responsible for managing a biodiversity program or programming biodiversity funds (Biodiversity Practitioner or A/COR),Activity implementation,,,,,MI/MI2 support had a moderate positive effect on the actions undertaken during implementation of the activity,,,Agree,Agree,,,,,,
18,12464683413,263393441,2021-03-04 23:06:54,2021-03-04 23:46:55,163.116.193.117,,,,,Yes,SG13,Male,Yes,"Strategy (CDCS), Project design (PAD), Activity design and/or procurement, Evaluation","I engaged with biodiversity programming through facilitating strategic planning, procurement, and/or M&E and reporting (Program Officer)","Mission (please specify), Indonesia",Strongly disagree,Agree,,,,,Agree,"I'm in the Program Office who provide advices through various project cycle cycle, such as project design, activity approval, portfolio review, and evaluation.",Neither agree nor disagree,"While PRO can provide advice, it's up to the biodiversity team to make a call as they are implementing the project.",Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Very important,Strongly Agree,Very important,Strongly Agree,Very important,Strongly Agree,Very important,Not at all familiar,,,,,,,,,,,,,,,,,,
