,cluster,individual,value
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,21
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,10
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,6
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,2
21,0,21,9
22,0,22,8
23,0,23,0
24,0,24,3
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,0,33,0
34,0,34,8
35,0,35,3
36,0,36,0
37,0,37,0
38,0,38,0
39,0,39,0
40,0,40,0
41,0,41,14
42,0,42,0
43,0,43,0
44,0,44,0
45,0,45,22
46,0,46,0
47,0,47,11
48,0,48,0
49,0,49,0
50,0,50,0
51,0,51,0
52,0,52,0
53,0,53,0
54,0,54,0
55,0,55,0
56,0,56,0
57,0,57,5
58,0,58,0
59,0,59,0
60,0,60,0
61,0,61,0
62,0,62,0
63,0,63,0
64,0,64,19
65,0,65,0
66,0,66,0
67,0,67,15
68,0,68,0
69,0,69,0
70,0,70,0
71,0,71,0
72,0,72,0
73,0,73,0
74,0,74,15
75,0,75,0
76,0,76,0
77,0,77,0
78,0,78,0
79,0,79,0
80,0,80,0
81,0,81,0
82,0,82,0
83,0,83,0
84,0,84,0
85,0,85,0
86,0,86,0
87,0,87,0
88,0,88,0
89,0,89,0
90,0,90,0
91,0,91,0
92,0,92,0
93,0,93,0
94,0,94,9
95,0,95,0
96,0,96,0
97,0,97,0
98,0,98,0
99,0,99,4
100,0,100,0
101,0,101,0
102,0,102,0
103,0,103,8
104,0,104,0
105,0,105,0
106,0,106,0
107,0,107,0
108,0,108,0
109,0,109,0
110,0,110,8
111,0,111,0
112,0,112,0
113,0,113,13
114,0,114,0
115,0,115,0
116,0,116,0
117,0,117,0
118,0,118,0
119,0,119,0
120,0,120,3
121,0,121,2
122,0,122,0
123,0,123,0
124,0,124,0
125,0,125,0
126,0,126,0
127,0,127,0
128,0,128,3
129,0,129,7
130,0,130,3
131,0,131,0
132,0,132,0
133,0,133,0
134,0,134,0
135,0,135,0
136,0,136,0
137,0,137,0
138,0,138,0
139,0,139,0
140,0,140,0
141,0,141,0
142,0,142,0
143,0,143,0
144,0,144,0
145,0,145,0
146,0,146,0
147,0,147,0
148,0,148,0
149,0,149,17
150,0,150,0
151,0,151,0
152,0,152,0
153,0,153,11
154,0,154,0
155,0,155,0
156,0,156,0
157,0,157,0
158,0,158,0
159,0,159,0
160,0,160,0
161,0,161,7
162,0,162,0
163,0,163,0
164,0,164,0
165,0,165,0
166,0,166,0
167,0,167,0
168,0,168,0
169,0,169,15
170,0,170,0
171,0,171,0
172,0,172,0
173,0,173,0
174,0,174,0
175,0,175,0
176,0,176,0
177,0,177,0
178,0,178,0
179,0,179,18
180,0,180,0
181,0,181,0
182,0,182,0
183,0,183,0
184,0,184,0
185,0,185,0
186,0,186,0
187,0,187,0
188,0,188,10
189,0,189,0
190,0,190,0
191,0,191,0
192,0,192,0
193,0,193,0
194,0,194,0
195,0,195,0
196,0,196,0
197,0,197,0
198,0,198,0
199,0,199,10
200,0,200,0
201,0,201,16
202,0,202,0
203,0,203,0
204,0,204,0
205,0,205,0
206,0,206,0
207,0,207,0
208,0,208,10
209,0,209,0
210,0,210,0
211,1,0,10
212,1,1,0
213,1,2,0
214,1,3,0
215,1,4,5
216,1,5,0
217,1,6,0
218,1,7,0
219,1,8,18
220,1,9,1
221,1,10,0
222,1,11,4
223,1,12,0
224,1,13,0
225,1,14,0
226,1,15,0
227,1,16,0
228,1,17,7
229,1,18,0
230,1,19,0
231,1,20,0
232,1,21,0
233,1,22,0
234,1,23,23
235,1,24,0
236,1,25,0
237,1,26,0
238,1,27,0
239,1,28,0
240,1,29,0
241,1,30,11
242,1,31,0
243,1,32,21
244,1,33,0
245,1,34,4
246,1,35,0
247,1,36,0
248,1,37,0
249,1,38,0
250,1,39,0
251,1,40,6
252,1,41,0
253,1,42,0
254,1,43,0
255,1,44,0
256,1,45,4
257,1,46,0
258,1,47,7
259,1,48,0
260,1,49,0
261,1,50,0
262,1,51,0
263,1,52,17
264,1,53,0
265,1,54,9
266,1,55,5
267,1,56,0
268,1,57,0
269,1,58,0
270,1,59,0
271,1,60,0
272,1,61,0
273,1,62,0
274,1,63,0
275,1,64,12
276,1,65,0
277,1,66,0
278,1,67,0
279,1,68,0
280,1,69,0
281,1,70,0
282,1,71,0
283,1,72,28
284,1,73,20
285,1,74,0
286,1,75,19
287,1,76,0
288,1,77,0
289,1,78,18
290,1,79,0
291,1,80,0
292,1,81,2
293,1,82,0
294,1,83,0
295,1,84,17
296,1,85,0
297,1,86,5
298,1,87,5
299,1,88,0
300,1,89,11
301,1,90,0
302,1,91,0
303,1,92,21
304,1,93,0
305,1,94,0
306,1,95,0
307,1,96,0
308,1,97,0
309,1,98,0
310,1,99,0
311,1,100,0
312,1,101,0
313,1,102,0
314,1,103,0
315,1,104,18
316,1,105,8
317,1,106,2
318,1,107,0
319,1,108,0
320,1,109,0
321,1,110,0
322,1,111,0
323,1,112,0
324,1,113,0
325,1,114,0
326,1,115,0
327,1,116,0
328,1,117,0
329,1,118,0
330,1,119,0
331,1,120,12
332,1,121,0
333,1,122,0
334,1,123,0
335,1,124,0
336,1,125,0
337,1,126,0
338,1,127,9
339,1,128,0
340,1,129,0
341,1,130,0
342,1,131,0
343,1,132,0
344,1,133,21
345,1,134,1
346,1,135,0
347,1,136,0
348,1,137,6
349,1,138,4
350,1,139,0
351,1,140,0
352,1,141,13
353,1,142,0
354,1,143,0
355,1,144,0
356,1,145,0
357,1,146,0
358,1,147,14
359,1,148,0
360,1,149,0
361,1,150,0
362,1,151,0
363,1,152,0
364,1,153,12
365,1,154,0
366,1,155,0
367,1,156,2
368,1,157,0
369,1,158,0
370,1,159,15
371,1,160,13
372,1,161,0
373,1,162,0
374,1,163,0
375,1,164,15
376,1,165,0
377,1,166,0
378,1,167,0
379,1,168,0
380,1,169,0
381,1,170,0
382,1,171,0
383,1,172,0
384,1,173,0
385,1,174,0
386,1,175,0
387,1,176,0
388,1,177,0
389,1,178,0
390,1,179,0
391,1,180,9
392,1,181,1
393,1,182,0
394,1,183,0
395,1,184,6
396,1,185,0
397,1,186,12
398,1,187,0
399,1,188,0
400,1,189,0
401,1,190,0
402,1,191,0
403,1,192,0
404,1,193,0
405,1,194,0
406,1,195,0
407,1,196,0
408,1,197,0
409,1,198,0
410,1,199,0
411,1,200,0
412,1,201,0
413,1,202,0
414,1,203,0
415,1,204,17
416,1,205,0
417,1,206,0
418,1,207,0
419,1,208,0
420,1,209,0
421,1,210,0
422,2,0,0
423,2,1,0
424,2,2,0
425,2,3,13
426,2,4,0
427,2,5,0
428,2,6,0
429,2,7,11
430,2,8,17
431,2,9,0
432,2,10,0
433,2,11,0
434,2,12,0
435,2,13,0
436,2,14,0
437,2,15,0
438,2,16,0
439,2,17,0
440,2,18,0
441,2,19,0
442,2,20,7
443,2,21,0
444,2,22,0
445,2,23,0
446,2,24,0
447,2,25,0
448,2,26,0
449,2,27,5
450,2,28,0
451,2,29,0
452,2,30,17
453,2,31,0
454,2,32,9
455,2,33,0
456,2,34,0
457,2,35,0
458,2,36,0
459,2,37,0
460,2,38,0
461,2,39,0
462,2,40,0
463,2,41,0
464,2,42,18
465,2,43,0
466,2,44,0
467,2,45,0
468,2,46,0
469,2,47,18
470,2,48,0
471,2,49,0
472,2,50,0
473,2,51,0
474,2,52,7
475,2,53,0
476,2,54,0
477,2,55,0
478,2,56,0
479,2,57,0
480,2,58,0
481,2,59,0
482,2,60,0
483,2,61,15
484,2,62,0
485,2,63,0
486,2,64,0
487,2,65,0
488,2,66,0
489,2,67,0
490,2,68,11
491,2,69,0
492,2,70,0
493,2,71,6
494,2,72,0
495,2,73,0
496,2,74,0
497,2,75,6
498,2,76,0
499,2,77,0
500,2,78,11
501,2,79,0
502,2,80,0
503,2,81,0
504,2,82,0
505,2,83,0
506,2,84,0
507,2,85,0
508,2,86,0
509,2,87,0
510,2,88,0
511,2,89,0
512,2,90,15
513,2,91,0
514,2,92,23
515,2,93,11
516,2,94,0
517,2,95,0
518,2,96,0
519,2,97,0
520,2,98,0
521,2,99,0
522,2,100,0
523,2,101,14
524,2,102,0
525,2,103,8
526,2,104,0
527,2,105,0
528,2,106,0
529,2,107,0
530,2,108,0
531,2,109,0
532,2,110,0
533,2,111,14
534,2,112,0
535,2,113,0
536,2,114,0
537,2,115,0
538,2,116,0
539,2,117,0
540,2,118,0
541,2,119,0
542,2,120,0
543,2,121,0
544,2,122,0
545,2,123,10
546,2,124,0
547,2,125,0
548,2,126,12
549,2,127,0
550,2,128,7
551,2,129,0
552,2,130,0
553,2,131,0
554,2,132,0
555,2,133,0
556,2,134,0
557,2,135,0
558,2,136,15
559,2,137,19
560,2,138,15
561,2,139,0
562,2,140,0
563,2,141,0
564,2,142,0
565,2,143,0
566,2,144,8
567,2,145,0
568,2,146,0
569,2,147,0
570,2,148,3
571,2,149,0
572,2,150,0
573,2,151,0
574,2,152,0
575,2,153,0
576,2,154,0
577,2,155,0
578,2,156,11
579,2,157,0
580,2,158,0
581,2,159,0
582,2,160,3
583,2,161,0
584,2,162,0
585,2,163,16
586,2,164,0
587,2,165,0
588,2,166,0
589,2,167,0
590,2,168,0
591,2,169,8
592,2,170,0
593,2,171,0
594,2,172,0
595,2,173,0
596,2,174,0
597,2,175,0
598,2,176,0
599,2,177,0
600,2,178,0
601,2,179,0
602,2,180,0
603,2,181,0
604,2,182,0
605,2,183,0
606,2,184,0
607,2,185,0
608,2,186,0
609,2,187,0
610,2,188,0
611,2,189,22
612,2,190,0
613,2,191,0
614,2,192,0
615,2,193,0
616,2,194,0
617,2,195,0
618,2,196,0
619,2,197,0
620,2,198,0
621,2,199,0
622,2,200,0
623,2,201,0
624,2,202,0
625,2,203,0
626,2,204,0
627,2,205,0
628,2,206,7
629,2,207,0
630,2,208,15
631,2,209,0
632,2,210,0
633,3,0,0
634,3,1,0
635,3,2,0
636,3,3,0
637,3,4,0
638,3,5,0
639,3,6,0
640,3,7,0
641,3,8,0
642,3,9,0
643,3,10,0
644,3,11,0
645,3,12,0
646,3,13,0
647,3,14,0
648,3,15,3
649,3,16,0
650,3,17,11
651,3,18,0
652,3,19,7
653,3,20,0
654,3,21,0
655,3,22,17
656,3,23,0
657,3,24,0
658,3,25,0
659,3,26,0
660,3,27,5
661,3,28,0
662,3,29,7
663,3,30,14
664,3,31,0
665,3,32,0
666,3,33,0
667,3,34,0
668,3,35,10
669,3,36,0
670,3,37,0
671,3,38,0
672,3,39,0
673,3,40,26
674,3,41,0
675,3,42,26
676,3,43,0
677,3,44,0
678,3,45,11
679,3,46,0
680,3,47,0
681,3,48,0
682,3,49,0
683,3,50,0
684,3,51,0
685,3,52,0
686,3,53,0
687,3,54,0
688,3,55,0
689,3,56,0
690,3,57,9
691,3,58,0
692,3,59,0
693,3,60,0
694,3,61,15
695,3,62,0
696,3,63,0
697,3,64,6
698,3,65,0
699,3,66,0
700,3,67,2
701,3,68,0
702,3,69,0
703,3,70,0
704,3,71,0
705,3,72,19
706,3,73,0
707,3,74,0
708,3,75,10
709,3,76,0
710,3,77,0
711,3,78,0
712,3,79,0
713,3,80,0
714,3,81,0
715,3,82,13
716,3,83,0
717,3,84,8
718,3,85,0
719,3,86,0
720,3,87,0
721,3,88,0
722,3,89,0
723,3,90,0
724,3,91,0
725,3,92,0
726,3,93,0
727,3,94,0
728,3,95,0
729,3,96,0
730,3,97,0
731,3,98,0
732,3,99,0
733,3,100,0
734,3,101,0
735,3,102,8
736,3,103,2
737,3,104,0
738,3,105,0
739,3,106,0
740,3,107,0
741,3,108,17
742,3,109,15
743,3,110,0
744,3,111,0
745,3,112,0
746,3,113,0
747,3,114,0
748,3,115,0
749,3,116,0
750,3,117,0
751,3,118,0
752,3,119,0
753,3,120,0
754,3,121,0
755,3,122,0
756,3,123,16
757,3,124,0
758,3,125,10
759,3,126,0
760,3,127,0
761,3,128,0
762,3,129,3
763,3,130,10
764,3,131,10
765,3,132,0
766,3,133,0
767,3,134,0
768,3,135,2
769,3,136,0
770,3,137,0
771,3,138,0
772,3,139,0
773,3,140,0
774,3,141,3
775,3,142,0
776,3,143,8
777,3,144,0
778,3,145,0
779,3,146,7
780,3,147,0
781,3,148,12
782,3,149,0
783,3,150,0
784,3,151,0
785,3,152,0
786,3,153,0
787,3,154,0
788,3,155,0
789,3,156,0
790,3,157,0
791,3,158,0
792,3,159,14
793,3,160,0
794,3,161,5
795,3,162,0
796,3,163,0
797,3,164,0
798,3,165,0
799,3,166,5
800,3,167,0
801,3,168,0
802,3,169,0
803,3,170,0
804,3,171,0
805,3,172,0
806,3,173,0
807,3,174,0
808,3,175,0
809,3,176,14
810,3,177,0
811,3,178,0
812,3,179,0
813,3,180,0
814,3,181,0
815,3,182,0
816,3,183,0
817,3,184,0
818,3,185,0
819,3,186,0
820,3,187,0
821,3,188,6
822,3,189,0
823,3,190,0
824,3,191,0
825,3,192,0
826,3,193,0
827,3,194,11
828,3,195,0
829,3,196,9
830,3,197,17
831,3,198,12
832,3,199,0
833,3,200,0
834,3,201,0
835,3,202,0
836,3,203,16
837,3,204,17
838,3,205,0
839,3,206,0
840,3,207,0
841,3,208,0
842,3,209,0
843,3,210,0
844,4,0,0
845,4,1,12
846,4,2,0
847,4,3,0
848,4,4,1
849,4,5,0
850,4,6,6
851,4,7,0
852,4,8,0
853,4,9,0
854,4,10,0
855,4,11,2
856,4,12,13
857,4,13,17
858,4,14,0
859,4,15,8
860,4,16,0
861,4,17,21
862,4,18,0
863,4,19,0
864,4,20,0
865,4,21,0
866,4,22,0
867,4,23,0
868,4,24,0
869,4,25,0
870,4,26,0
871,4,27,0
872,4,28,11
873,4,29,0
874,4,30,7
875,4,31,0
876,4,32,0
877,4,33,0
